01_track_100.smt2; timeout 
03_track_135.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_136.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_137.smt2; sat, 1: "" 2: "" 5: "b" 16: "" 24: "" 26: "" 34: "" 39: "baa" 
03_track_138.smt2; timeout 
03_track_139.smt2; timeout 
03_track_13.smt2; unsat 
03_track_140.smt2; timeout 
03_track_141.smt2; timeout 
03_track_142.smt2; timeout 
03_track_143.smt2; timeout 
03_track_144.smt2; sat, 1: "" 4: "a" 
03_track_145.smt2; timeout 
03_track_146.smt2; sat, 3: "" 6: "" 9: "" 23: "" 35: "" 37: "" 41: "" 51: "" 59: "aa" 
03_track_147.smt2; sat, 1: "" 2: "" 8: "" 11: "" 16: "aa" 
03_track_148.smt2; timeout 
03_track_149.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_14.smt2; unsat 
03_track_150.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_151.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_152.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_153.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_154.smt2; timeout 
03_track_155.smt2; timeout 
03_track_156.smt2; timeout 
03_track_157.smt2; timeout 
03_track_158.smt2; timeout 
03_track_159.smt2; sat, 1: "" 6: "a" 9: "" 17: "a" 19: "a" 26: "aa" 
03_track_15.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_160.smt2; timeout 
03_track_161.smt2; sat, 2: "" 6: "" 10: "aa" 24: "" 29: "aa" 
03_track_162.smt2; timeout 
03_track_163.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_164.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_165.smt2; timeout 
03_track_166.smt2; timeout 
03_track_167.smt2; timeout 
03_track_168.smt2; sat, 2: "" 7: "a" 9: "" 11: "" 13: "" 14: "" 24: "" 29: "" 46: "aa" 
03_track_169.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_16.smt2; timeout 
03_track_170.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_171.smt2; sat, 1: "aa" 4: "" 7: "" 9: "aaa" 14: "" 25: "" 29: "" 32: "" 39: "" 41: "" 49: "aa" 
03_track_172.smt2; timeout 
03_track_173.smt2; timeout 
03_track_174.smt2; timeout 
03_track_175.smt2; timeout 
03_track_176.smt2; sat, 2: "" 7: "a" 9: "" 11: "" 17: "a" 26: "" 28: "" 41: "" 43: "" 50: "aa" 
03_track_177.smt2; timeout 
03_track_178.smt2; sat, 1: "aaa" 2: "" 4: "" 5: "a" 21: "" 35: "" 38: "" 48: "" 53: "aa" 
03_track_179.smt2; sat, 1: "" 4: "b" 8: "" 9: "" 10: "" 18: "" 25: "" 32: "" 34: "" 42: "baa" 
03_track_17.smt2; unsat 
03_track_180.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_181.smt2; sat, 1: "" 3: "" 4: "a" 6: "" 10: "" 20: "" 22: "" 24: "" 31: "aa" 
03_track_182.smt2; timeout 
03_track_183.smt2; timeout 
03_track_184.smt2; timeout 
03_track_185.smt2; sat, 1: "" 2: "" 8: "" 11: "" 16: "aa" 
03_track_186.smt2; sat, 1: "" 4: "" 6: "" 8: "" 19: "aa" 26: "" 28: "" 30: "" 40: "" 48: "aa" 
03_track_187.smt2; timeout 
03_track_188.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_189.smt2; timeout 
03_track_18.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_190.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_191.smt2; timeout 
03_track_192.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_193.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_194.smt2; sat, 1: "" 2: "" 6: "" 15: "aa" 
03_track_195.smt2; timeout 
03_track_196.smt2; timeout 
03_track_197.smt2; timeout 
03_track_198.smt2; sat, 1: "" 4: "" 6: "" 8: "" 16: "aa" 
03_track_199.smt2; timeout 
03_track_19.smt2; unsat 
03_track_1.smt2; timeout 
03_track_200.smt2; timeout 
03_track_20.smt2; unsat 
03_track_21.smt2; unsat 
03_track_22.smt2; timeout 
03_track_23.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_24.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_25.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_26.smt2; timeout 
03_track_27.smt2; timeout 
03_track_28.smt2; timeout 
03_track_29.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_2.smt2; timeout 
03_track_30.smt2; unsat 
03_track_31.smt2; unsat 
03_track_32.smt2; timeout 
03_track_33.smt2; timeout 
03_track_34.smt2; timeout 
03_track_35.smt2; timeout 
03_track_36.smt2; timeout 
03_track_37.smt2; unsat 
03_track_38.smt2; timeout 
03_track_39.smt2; timeout 
03_track_3.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_40.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_41.smt2; unsat 
03_track_42.smt2; unsat 
03_track_43.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_44.smt2; timeout 
03_track_45.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_46.smt2; timeout 
03_track_47.smt2; timeout 
03_track_48.smt2; timeout 
03_track_49.smt2; timeout 
03_track_4.smt2; timeout 
03_track_50.smt2; timeout 
03_track_51.smt2; timeout 
03_track_52.smt2; timeout 
03_track_53.smt2; timeout 
03_track_54.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_55.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_56.smt2; timeout 
03_track_57.smt2; timeout 
03_track_58.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_59.smt2; timeout 
03_track_5.smt2; timeout 
03_track_60.smt2; timeout 
03_track_61.smt2; timeout 
03_track_62.smt2; timeout 
03_track_63.smt2; timeout 
03_track_64.smt2; timeout 
03_track_65.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_66.smt2; timeout 
03_track_67.smt2; timeout 
03_track_68.smt2; timeout 
03_track_69.smt2; timeout 
03_track_6.smt2; timeout 
03_track_70.smt2; timeout 
03_track_71.smt2; timeout 
03_track_72.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_73.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_74.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_75.smt2; timeout 
03_track_76.smt2; timeout 
03_track_77.smt2; timeout 
03_track_78.smt2; timeout 
03_track_79.smt2; timeout 
03_track_7.smt2; unsat 
03_track_80.smt2; sat, 1: "" 
03_track_81.smt2; timeout 
03_track_82.smt2; timeout 
03_track_83.smt2; timeout 
03_track_84.smt2; timeout 
03_track_85.smt2; timeout 
03_track_86.smt2; timeout 
03_track_87.smt2; timeout 
03_track_88.smt2; timeout 
03_track_89.smt2; sat, 2: "a" 5: "" 16: "aa" 
03_track_8.smt2; unsat 
03_track_90.smt2; timeout 
03_track_91.smt2; sat, 1: "" 4: "a" 
03_track_92.smt2; sat, 2: "a" 6: "a" 9: "aa" 
03_track_93.smt2; sat, 2: "" 6: "" 9: "aa" 
03_track_94.smt2; sat, 1: "" 4: "a" 
03_track_95.smt2; sat, 1: "" 4: "a" 
03_track_96.smt2; sat, 1: "" 4: "" 6: "" 8: "" 16: "aa" 
03_track_97.smt2; timeout 
03_track_98.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_99.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_9.smt2; unsat 
04_track_100.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
04_track_101.smt2; timeout 
04_track_102.smt2; timeout 
04_track_103.smt2; timeout 
04_track_104.smt2; timeout 
04_track_105.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
04_track_106.smt2; timeout 
04_track_107.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
04_track_108.smt2; timeout 
04_track_109.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
